review_date,rating,review_text,cleaned_review_text
2025-01-20 10:29:20,5,برنامج ممتاز جدا,برنامج ممتاز جدا
2025-03-26 21:25:43,1,تطبيق زباله وشغالين سبوبه وحلب في الناس طالع واكل نازل واكل وياريت لما يحصل مشكله حد بيرد ولا بيحل المشكله,تطبيق زباله وشغالين سبوبه وحلب في الناس طالع واكل نازل واكل وياريت لما يحصل مشكله حد بيرد ولا بيحل المشكله
2023-10-29 18:11:02,5,ممتاز,ممتاز
2024-09-24 19:00:12,5,ممتاز,ممتاز
2025-02-19 21:34:26,1,فاشل لا يتم استقبال من أي محفظة فودافون وموبينيل واتصالات وي .. .,فاشل لا يتم استقبال من أي محفظة فودافون وموبينيل واتصالات وي .. .
2025-03-27 00:39:19,2,السلام عليكم بدخل اشوف رصيدى بيدينى الخدمه غير متوفره رجاء حل المشكله فضلا وليس امرا,السلام عليكم بدخل اشوف رصيدى بيدينى الخدمه غير متوفره رجاء حل المشكله فضلا وليس امرا
2025-01-23 19:22:04,5,ممتاز جدا,ممتاز جدا
2023-07-19 22:50:48,1,التطبيق لم يعد يعمل أصبح هناك مشكله التطبيق ما بيفتحش,التطبيق لم يعد يعمل أصبح هناك مشكله التطبيق ما بيفتحش
2025-04-01 01:01:22,1,ارفض فرض الرسوم علي التحويلات,ارفض فرض الرسوم علي التحويلات
2024-10-24 01:03:43,2,التطبيق كان شغال حلو فجأه عطل ومش عايز يفتح خالص هل في مشكله ولا لا,التطبيق كان شغال حلو فجأه عطل ومش عايز يفتح خالص هل في مشكله ولا لا
2022-10-31 15:58:54,5,تطبيق فوق الممتاز بس عندي مشكله ان التطبيق وانا بفعله مبيكملش تفعيل ولما بدخل علي رسائل الهاتف بلاقي الرساله مرفوضه اعملها اعادة ارسال تترسل عادي بس بيكون التطبيق جتب رساله خطأ نوع الجهاز شاومي ريدمي ١٠ برو,تطبيق فوق الممتاز بس عندي مشكله ان التطبيق وانا بفعله مبيكملش تفعيل ولما بدخل علي رسائل الهاتف بلاقي الرساله مرفوضه اعملها اعادة ارسال تترسل عادي بس بيكون التطبيق جتب رساله خطأ نوع الجهاز شاومي ريدمي ١٠ برو
2024-11-28 01:17:26,4,Very good,Very good
2024-09-23 09:06:23,5,ممتاز,ممتاز
2025-03-25 14:35:00,5,جيدا,جيدا
2024-09-24 22:23:03,1,يوجد مشكله فى رابط البرنامج بالرقم التليفون,يوجد مشكله فى رابط البرنامج بالرقم التليفون
2024-12-12 12:25:42,3,لو سمحت نرجو التواصل ضروري لحل مشكلة بنحاول الاتصال بخدمة العملاء مفيش حد بيرد,لو سمحت نرجو التواصل ضروري لحل مشكلة بنحاول الاتصال بخدمة العملاء مفيش حد بيرد
2025-09-04 12:08:12,5,محمود,محمود
2024-06-01 15:19:58,3,البنك الزراعي المصري هينضم امتي للبرنامج,البنك الزراعي المصري هينضم امتي للبرنامج
2022-04-11 22:40:52,5,تطبيق محترم جدا بس محتاجين إضافة شركات مثل نافذة و طباعة فواتير pdf,تطبيق محترم جدا بس محتاجين إضافة شركات مثل نافذة و طباعة فواتير pdf
2025-02-27 14:43:53,5,تمام,تمام
2024-10-04 02:39:49,1,التطبيق أصبح لا يستجيب,التطبيق أصبح لا يستجيب
2024-01-22 16:43:41,5,ممتاز جداً,ممتاز جداً
2025-04-28 01:32:21,5,goob,goob
2024-09-25 16:21:29,5,تجربه رائعه جدا,تجربه رائعه جدا
2024-02-04 13:41:55,1,حاولت التسجيل اكتر من خمسين مره دون فائده مع نفس الرقم المسجل بالبنك,حاولت التسجيل اكتر من خمسين مره دون فائده مع نفس الرقم المسجل بالبنك
2022-05-28 01:59:36,5,ممتاز وسهل وعملى أرجو أرسال رقم واتس آب للتواصل,ممتاز وسهل وعملى أرجو أرسال رقم واتس آب للتواصل
2025-02-24 21:43:54,5,الحمدلله,الحمدلله
2024-07-16 16:17:33,5,البرنامج مش بيشتغل على هاتفي,البرنامج مش بيشتغل على هاتفي
2024-09-30 23:04:38,5,جيد جدا,جيد جدا
2022-04-18 11:40:13,5,ممتاز,ممتاز
2024-10-24 04:35:36,5,فوق الممتاز,فوق الممتاز
2022-05-24 17:25:28,4,كويس,كويس
2022-09-03 10:44:14,4,التطبيق حتى الآن كويس جدا بس هل التحويلات برسوم,التطبيق حتى الآن كويس جدا بس هل التحويلات برسوم
2024-08-24 08:30:30,1,مش بيشتغل عندي وبيدخلني في الاعدادات ومش بيفتح,مش بيشتغل عندي وبيدخلني في الاعدادات ومش بيفتح
2024-12-26 17:16:13,5,ممتاز جدا جدا,ممتاز جدا جدا
2024-03-23 07:13:51,5,تطبيق رائع,تطبيق رائع
2024-09-18 13:42:07,5,البرنامج ممتاز,البرنامج ممتاز
2025-03-31 01:07:56,5,تطبيق ممتاز,تطبيق ممتاز
2024-10-05 08:25:40,3,التطبيق توقف ولا يعمل فجاه,التطبيق توقف ولا يعمل فجاه
2025-04-02 22:34:25,1,التطبيق يطلب تحديثات وبعد عمل التحديث لايعمل,التطبيق يطلب تحديثات وبعد عمل التحديث لايعمل
2024-03-23 10:19:00,5,بصراحه تطبيق هايل جدا وجميل جدا,بصراحه تطبيق هايل جدا وجميل جدا
2024-03-15 22:35:09,5,احسن برنامج شفته,احسن برنامج شفته
2024-09-11 00:19:12,5,ممتاز,ممتاز
2022-04-16 18:22:56,5,ممتاز بس ينقصه باقي البنوك لانه مش مسجل جميع البنوك,ممتاز بس ينقصه باقي البنوك لانه مش مسجل جميع البنوك
2025-01-28 08:25:10,5,قمت بتنزيل البرنامج وبحاول تنزيل رقم الحساب غير قابل نهائى مع العلم نفس رقم التليفون المرتبط مع البنك,قمت بتنزيل البرنامج وبحاول تنزيل رقم الحساب غير قابل نهائى مع العلم نفس رقم التليفون المرتبط مع البنك
2022-05-23 15:14:35,4,ممتاز جداً ينقصه سرعة الاستجابة,ممتاز جداً ينقصه سرعة الاستجابة
2023-12-24 18:48:55,5,برنامج رائع,برنامج رائع
2023-09-29 13:46:31,1,لو يتم إرسال الرسالة النصية لتأكيد الرقم,لو يتم إرسال الرسالة النصية لتأكيد الرقم
2022-10-05 08:36:17,4,متي سيتم إضافة البنك الأهلي الكويتي مصر,متي سيتم إضافة البنك الأهلي الكويتي مصر
2025-05-31 16:32:53,5,ممتاز جدا,ممتاز جدا
2024-12-10 21:13:55,5,رائع,رائع
2024-09-23 16:10:42,5,مفيده جدا,مفيده جدا
2023-07-27 22:50:44,3,حلو بس ناقصة إضافة خدمات زى شحن الموبايل او الكهرباء الخ,حلو بس ناقصة إضافة خدمات زى شحن الموبايل او الكهرباء الخ
2024-03-21 20:33:33,1,مش بيسجل و فيه مشكله,مش بيسجل و فيه مشكله
2025-01-06 06:02:36,5,Good,Good
2025-07-02 10:05:29,5,ممتاز,ممتاز
2025-07-16 07:49:57,1,تحت التجربة,تحت التجربة
2025-06-06 12:34:28,5,ممتاز,ممتاز
2025-06-24 22:22:36,5,جميل,جميل
2024-12-03 14:19:04,5,ممتاز,ممتاز
2023-11-30 15:25:35,1,بصراحه الأول كان جميل جدا بس دلوقتي بقي حاجه مقرفه بجد,بصراحه الأول كان جميل جدا بس دلوقتي بقي حاجه مقرفه بجد
2025-03-30 21:19:03,5,حلو,حلو
2024-10-23 13:56:26,1,النظم مش عوزة يشتغل تم عمل حذف وتم تنزيل مرة أخرى لم يشتغل,النظم مش عوزة يشتغل تم عمل حذف وتم تنزيل مرة أخرى لم يشتغل
2023-12-27 13:04:22,5,فوق الممتاز,فوق الممتاز
2025-01-28 11:31:36,1,تطبيق زباله وسى الاستخدام لوالتعليق ماتستهلو ولا نجمه,تطبيق زباله وسى الاستخدام لوالتعليق ماتستهلو ولا نجمه
2024-05-26 13:29:36,2,التطبيق لا يعمل منذ يومين واريد معرفه ما المشكلة,التطبيق لا يعمل منذ يومين واريد معرفه ما المشكلة
2024-12-15 19:46:58,5,بارك الله فيكم,بارك الله فيكم
2024-01-20 14:08:03,5,حلو اوى و برجاء اضافة محفظة الهاتف مع الحساب البنكى,حلو اوى و برجاء اضافة محفظة الهاتف مع الحساب البنكى
2025-06-19 17:41:32,5,ممتازه جدا,ممتازه جدا
2024-05-06 10:13:37,5,ممتاز وجزاكم الله خير الجزاء برجاء إضافة ميزه حذف معامله هيكون اجمل شكرا,ممتاز وجزاكم الله خير الجزاء برجاء إضافة ميزه حذف معامله هيكون اجمل شكرا
2024-12-26 16:10:27,5,للحفاظ والتحويل,للحفاظ والتحويل
2023-12-20 22:21:30,4,برجاء إضافه البريد المصرى من ضمن لائحه البنوك التى ف البرنامج لانه هو ايضا يتعامل بالفيزا وبالمعاملات الماليه,برجاء إضافه البريد المصرى من ضمن لائحه البنوك التى ف البرنامج لانه هو ايضا يتعامل بالفيزا وبالمعاملات الماليه
2024-08-10 05:25:46,1,لما اعمل طلب عرض الرصيد ميحملش ويقولي Timed out اي حل المشكله دي,لما اعمل طلب عرض الرصيد ميحملش ويقولي Timed out اي حل المشكله دي
2024-03-26 15:29:31,1,تطبيق سيئ وخدمه عملاء اسوء,تطبيق سيئ وخدمه عملاء اسوء
2024-12-13 22:02:19,5,ممتازه جدا,ممتازه جدا
