review_date,rating,review_text,cleaned_review_text,llm_labels
2024-04-02 21:07:46,5,ممتاز جدااااا,ممتاز جدااااا,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2023-09-23 14:18:14,4,برنامج متميز للغاية بس يا ريت تضيفو بنوك اكتر وبالذات البنك الزراعي المصري لان خدماته الالكترونية قليلية رجاء خاص,برنامج متميز للغاية بس يا ريت تضيفو بنوك اكتر وبالذات البنك الزراعي المصري لان خدماته الالكترونية قليلية رجاء خاص,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'positive'}, {'aspect_term': 'بنوك متاحة', 'polarity': 'negative'}, {'aspect_term': 'الخدمات الإلكترونية للبنك الزراعي المصري', 'polarity': 'negative'}]"
2023-07-27 14:40:04,5,Good,Good,[]
2025-08-26 20:50:30,1,اخذ منى ما يقرب من 100 جنيه وكل مره يقولى لم يتم ارسال الرساله,اخذ منى ما يقرب من 100 جنيه وكل مره يقولى لم يتم ارسال الرساله,"[{'aspect_term': 'الرسوم', 'polarity': 'negative'}, {'aspect_term': 'إرسال الرسائل', 'polarity': 'negative'}]"
2025-02-07 08:53:59,1,سي للغيه وفاشل,سي للغيه وفاشل,"[{'aspect_term': 'التطبيق', 'polarity': 'negative'}]"
2024-04-04 15:39:45,1,السلام عليكم اول مره اتعامل مع البرنامج بعد ادخال اسم البنك ورقم البطاقه والرقم السرى بيكون الرد (حاول مره أخرى فى وقت لاحق) وهذا الكلام مستمر من اربعه ايام ... ممكن افاده,السلام عليكم اول مره اتعامل مع البرنامج بعد ادخال اسم البنك ورقم البطاقه والرقم السرى بيكون الرد (حاول مره أخرى فى وقت لاحق) وهذا الكلام مستمر من اربعه ايام ... ممكن افاده,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'negative'}]"
2024-06-10 01:11:38,5,معقد,معقد,"[{'aspect_term': 'سهولة الاستخدام', 'polarity': 'negative'}]"
2024-10-01 18:35:56,5,التطببيق لا يفتح اول مره يعمل كده,التطببيق لا يفتح اول مره يعمل كده,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'negative'}]"
2024-09-04 15:41:08,1,برنامج ابن وسخة من ساعة من تم تحديثه وهو مش عايز يدخل ع اي حاجة اتفوووووو,برنامج ابن وسخة من ساعة من تم تحديثه وهو مش عايز يدخل ع اي حاجة اتفوووووو,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'negative'}]"
2025-04-14 17:51:14,1,معقد معقد معقد,معقد معقد معقد,"[{'aspect_term': 'واجهة المستخدم', 'polarity': 'negative'}]"
2023-04-10 16:43:04,5,راعيه,راعيه,[]
2024-01-05 06:23:29,1,لماذا لم يتم تسجيل الدخول إلى التطبيق لا يمكنها ارسال الرسائل النصية علي الخط الخاص بي,لماذا لم يتم تسجيل الدخول إلى التطبيق لا يمكنها ارسال الرسائل النصية علي الخط الخاص بي,"[{'aspect_term': 'تسجيل الدخول', 'polarity': 'negative'}, {'aspect_term': 'إرسال الرسائل النصية', 'polarity': 'negative'}]"
2025-05-01 22:44:53,5,good,good,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2023-05-17 04:58:57,5,برنامج رائع,برنامج رائع,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2024-02-22 15:16:01,5,ممتاز عن تجربه أفادني كتير,ممتاز عن تجربه أفادني كتير,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'positive'}]"
2025-03-29 03:48:12,1,اكتر من مرة احاول افتح البرنامج من الخارج يطلب الشريحة اركب الشريحة يرسل رسالة وغير قادر ويقفل مشكلة في النظام,اكتر من مرة احاول افتح البرنامج من الخارج يطلب الشريحة اركب الشريحة يرسل رسالة وغير قادر ويقفل مشكلة في النظام,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'negative'}]"
2024-11-27 20:26:36,5,ممتاز,ممتاز,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2023-07-14 21:34:49,1,البرنامج كنت مسجله فيه بشتغل عليه عادي لغيته وشغلته تاني مش بيفتح وببعت إرسال رساله من نفس رقم الفون المسجل بالبنك مش بيرسل عاوزه اعرف اتصرف ازاي,البرنامج كنت مسجله فيه بشتغل عليه عادي لغيته وشغلته تاني مش بيفتح وببعت إرسال رساله من نفس رقم الفون المسجل بالبنك مش بيرسل عاوزه اعرف اتصرف ازاي,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'negative'}, {'aspect_term': 'خدمة العملاء', 'polarity': 'negative'}]"
2023-04-20 01:16:17,1,هل البرنامج آمن وكيف اعرف ذلك,هل البرنامج آمن وكيف اعرف ذلك,"[{'aspect_term': 'أمان البرنامج', 'polarity': 'neutral'}]"
